id|drop_mesh1|icon|durability|weight|material|crystallizable|stackable|family|grade
17|dropitems.drop_quiver_m00|icon.etc_wooden_quiver_i00|-1|6|13|0|2|2|0
53|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i00|-1|100|0|0|2|0|0
54|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i00|-1|100|0|0|2|0|0
55|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i02|-1|100|0|0|2|0|0
56|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i02|-1|100|0|0|2|0|0
57|DropItems.coin_m00|icon.etc_adena_i00|-1|0|3|0|3|0|0
65|dropitems.drop_lesser_potion_m00|icon.etc_potion_red_i00|-1|80|53|0|2|3|0
136|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i00|-1|100|0|0|2|0|0
137|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i00|-1|100|0|0|2|0|0
138|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i00|-1|100|0|0|2|0|0
139|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i02|-1|100|0|0|2|0|0
140|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i02|-1|100|0|0|2|0|0
141|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i02|-1|100|0|0|2|0|0
163|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i00|-1|100|0|0|2|0|0
170|dropitems.drop_jewel_box_m00|icon.etc_pi_gift_box_i02|-1|100|0|0|2|0|0
686|dropitems.drop_jewel_box_m00|icon.etc_branch_blue_i00|-1|100|13|0|0|0|0
687|dropitems.drop_sack_m00|icon.etc_scroll_gray_i00|-1|0|18|0|0|0|0
688|dropitems.drop_sack_m00|icon.etc_piece_of_cloth_white_i00|-1|0|17|0|0|0|0
689|dropitems.drop_sack_m00|icon.etc_spell_books_red_i00|-1|0|18|0|0|0|0
690|dropitems.drop_sack_m00|icon.item_normal06|-1|0|18|0|0|0|0
691|dropitems.drop_sack_m00|icon.item_normal07|-1|0|18|0|0|0|0
692|dropitems.drop_sack_m00|icon.item_canuse37|-1|0|18|0|0|0|0
693|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|18|0|0|0|0
694|dropitems.drop_sack_m00|icon.item_normal37|-1|0|18|0|0|0|0
695|dropitems.drop_sack_m00|icon.item_canuse48|-1|0|8|0|2|0|0
696|dropitems.drop_sack_m00|icon.item_normal30|-1|0|8|0|2|0|0
697|dropitems.drop_sack_m00|icon.item_normal24|-1|0|8|0|2|0|0
698|dropitems.drop_sack_m00|icon.item_normal37|-1|0|8|0|0|0|0
699|dropitems.drop_sack_m00|icon.item_canuse05|-1|0|8|0|2|0|0
700|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
701|dropitems.drop_sack_m00|icon.item_canuse28|-1|0|8|0|2|0|0
702|dropitems.drop_sack_m00|icon.etc_leather_brown_i00|-1|0|8|0|2|0|0
703|dropitems.drop_sack_m00|icon.etc_pouch_gray_i00|-1|0|8|0|2|0|0
704|dropitems.drop_sack_m00|icon.etc_lesser_potion_purple_i00|-1|0|8|0|2|0|0
705|dropitems.drop_sack_m00|icon.item_normal48|-1|0|8|0|2|0|0
706|dropitems.drop_sack_m00|icon.item_normal141|-1|0|8|0|2|0|0
707|dropitems.drop_sack_m00|icon.etc_pouch_yellow_i00|-1|0|8|0|2|0|0
708|dropitems.drop_sack_m00|icon.item_system03|-1|0|8|0|2|0|0
709|dropitems.drop_sack_m00|icon.armor_leather_shirt_i00|-1|400|19|0|0|0|0
710|dropitems.drop_sack_m00|icon.armor_leather_shirt_i00|-1|400|19|0|0|0|0
711|dropitems.drop_sack_m00|icon.armor_mithril_banded_mail_i00|-1|800|14|0|0|0|0
712|dropitems.drop_sack_m00|icon.armor_dwarven_scale_mail_i00|-1|1200|8|0|0|0|0
713|dropitems.drop_sack_m00|icon.armor_squires_pants_i00|-1|250|19|0|0|0|0
714|dropitems.drop_sack_m00|icon.armor_leather_pants_i00|-1|300|19|0|0|0|0
715|dropitems.drop_sack_m00|icon.armor_mithril_banded_gaiters_i00|-1|500|14|0|0|0|0
716|dropitems.drop_sack_m00|icon.armor_dwarven_scale_mail_i00|-1|800|8|0|0|0|0
717|dropitems.drop_sack_m00|icon.armor_gauntlet_i00|-1|100|19|0|0|0|0
718|dropitems.drop_sack_m00|icon.armor_gauntlet_i00|-1|150|19|0|0|0|0
719|dropitems.drop_sack_m00|icon.armor_gauntlet_i00|-1|150|19|0|0|0|0
720|dropitems.drop_sack_m00|icon.armor_gauntlet_i00|-1|200|8|0|0|0|0
721|dropitems.drop_sack_m00|icon.armor_iron_boots_i00|-1|150|19|0|0|0|0
722|dropitems.drop_sack_m00|icon.armor_iron_boots_i00|-1|150|19|0|0|0|0
723|dropitems.drop_sack_m00|icon.armor_feet99|-1|200|19|0|0|0|0
724|dropitems.drop_sack_m00|icon.armor_iron_boots_i00|-1|250|8|0|0|0|0
725|dropitems.drop_test_tube_m00|icon.etc_potion_red_i00|-1|180|53|0|2|3|0
726|dropitems.drop_test_tube_m00|icon.etc_potion_blue_i00|-1|180|53|0|2|3|0
727|dropitems.drop_test_tube_m00|icon.item_system03|-1|180|53|0|2|3|0
728|dropitems.drop_test_tube_m00|icon.etc_reagent_blue_i00|-1|180|53|0|2|3|0
729|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i04|-1|120|18|0|2|19|0
730|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i04|-1|120|18|0|2|20|0
731|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i01|-1|120|18|0|0|1|0
732|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i01|-1|120|18|0|0|1|0
733|dropitems.drop_test_tube_m00|icon.etc_lesser_potion_yellow_i00|-1|180|53|0|2|3|0
734|dropitems.drop_lesser_potion_m00|icon.etc_potion_green_i00|-1|20|53|0|2|3|0
735|dropitems.drop_potion_m00|icon.etc_reagent_green_i00|-1|20|53|0|2|3|0
736|dropitems.drop_scroll_m00|icon.etc_scroll_of_return_i00|-1|120|18|0|2|1|0
737|dropitems.drop_scroll_m00|icon.etc_scroll_of_resurrection_i00|-1|120|18|0|2|1|0
739|dropitems.drop_sack_m00|icon.weapon_small_sword_i00|-1|0|8|0|2|0|0
740|dropitems.drop_sack_m00|icon.weapon_great_sword_i00|-1|0|8|0|2|0|0
741|dropitems.drop_sack_m00|icon.etc_sword_body_i00|-1|0|8|0|2|0|0
742|dropitems.drop_sack_m00|icon.etc_piece_of_paper_white_i00|-1|0|8|0|2|0|0
745|dropitems.drop_sack_m00|icon.item_normal40|-1|0|8|0|2|0|0
746|dropitems.drop_sack_m00|icon.etc_piece_of_paper_white_i00|-1|0|8|0|2|0|0
750|dropitems.drop_sack_m00|icon.item_normal45|-1|0|8|0|2|0|0
751|dropitems.drop_sack_m00|icon.item_canuse07|-1|0|8|0|2|0|0
752|dropitems.drop_sack_m00|icon.etc_feather_gold_i00|-1|0|8|0|2|0|0
753|dropitems.drop_sack_m00|icon.item_normal12|-1|0|8|0|2|0|0
755|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
756|dropitems.drop_sack_m00|icon.item_normal17|-1|0|8|0|2|0|0
757|dropitems.drop_sack_m00|icon.item_canuse28|-1|0|8|0|2|0|0
758|dropitems.drop_sack_m00|icon.item_normal50|-1|0|8|0|2|0|0
759|dropitems.drop_sack_m00|icon.weapon_1hs21|-1|0|8|0|2|0|0
760|dropitems.drop_sack_m00|icon.weapon_1hs20|-1|0|8|0|2|0|0
761|dropitems.drop_sack_m00|icon.weapon_2hs02|-1|0|8|0|2|0|0
762|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
763|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
764|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
765|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
766|dropitems.drop_sack_m00|icon.armor_finger02|-1|0|8|0|2|0|0
767|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
768|dropitems.drop_sack_m00|icon.item_normal26|-1|0|8|0|2|0|0
