id|message|group|rgba[0]|rgba[1]|rgba[2]|sub_msg|type
0|a,You have been disconnected from the server.\0|2|79|9B|B0|a,|a,server\0
1|a,The server will be coming down in $s1 second(s).  Please find a safe place to log out.\0|2|79|9B|B0|a,Game will end in $s1 second(s).\0|a,server\0
2|a,$s1 does not exist.\0|0|79|9B|B0|a,|a,none\0
3|a,$s1 is not currently logged in.\0|0|79|9B|B0|a,|a,none\0
4|a,You cannot ask yourself to apply to a clan.\0|0|79|9B|B0|a,|a,none\0
5|a,$s1 already exists.\0|0|79|9B|B0|a,|a,none\0
6|a,$s1 does not exist.\0|0|79|9B|B0|a,|a,none\0
7|a,You are already a member of $s1.\0|0|79|9B|B0|a,|a,none\0
8|a,You are already a member of another clan.\0|0|79|9B|B0|a,|a,none\0
9|a,$s1 is not a clan leader.\0|0|79|9B|B0|a,|a,none\0
10|a,$s1 is already a member of another clan.\0|0|79|9B|B0|a,|a,none\0
11|a,There are no applicants for this clan.\0|0|79|9B|B0|a,|a,none\0
12|a,Applicant information is incorrect.\0|0|79|9B|B0|a,|a,none\0
13|a,Unable to dissolve: your clan has requested to participate in a castle siege.\0|0|79|9B|B0|a,|a,none\0
14|a,Unable to dissolve: your clan owns one or more castles or clan halls.\0|0|79|9B|B0|a,|a,none\0
15|a,You are in siege.\0|0|79|9B|B0|a,|a,none\0
16|a,You are not in siege.\0|0|79|9B|B0|a,|a,none\0
17|a,The castle siege has begun.\0|0|79|9B|B0|a,Castle siege has begun.\0|a,none\0
18|a,The castle siege has ended.\0|0|79|9B|B0|a,Castle siege has ended.\0|a,none\0
19|a,There is a new Lord of the castle!\0|0|79|9B|B0|a,|a,none\0
20|a,The gate is being opened.\0|0|79|9B|B0|a,The gate is being opened.\0|a,none\0
21|a,The gate is being destroyed.\0|0|79|9B|B0|a,The gate is being destroyed.\0|a,none\0
22|a,Your target is out of range.\0|0|79|9B|B0|a,|a,none\0
23|a,Not enough HP.\0|0|79|9B|B0|a,|a,none\0
24|a,Not enough MP.\0|0|79|9B|B0|a,|a,none\0
25|a,Rejuvenating HP.\0|0|79|9B|B0|a,|a,none\0
26|a,Rejuvenating MP.\0|0|79|9B|B0|a,|a,none\0
27|a,Your casting has been interrupted.\0|0|79|9B|B0|a,|a,none\0
28|a,You have obtained $s1 Adena.\0|0|0|FF|FF|a,|a,none\0
29|a,You have obtained $s2 $s1.\0|0|0|FF|FF|a,|a,none\0
30|a,You have obtained $s1.\0|0|0|FF|FF|a,|a,none\0
31|a,You cannot move while sitting.\0|0|79|9B|B0|a,|a,none\0
32|a,You are unable to engage in combat. Please go to the nearest restart point.\0|0|79|9B|B0|a,|a,none\0
33|a,You cannot move while casting.\0|0|79|9B|B0|a,|a,none\0
34|a,Welcome to the World of Lineage II.\0|2|79|9B|B0|a,|a,server\0
35|a,You hit for $s1 damage.\0|3|79|9B|B0|a,|a,damage\0
36|a,$c1 hit you for $s2 damage.\0|3|79|9B|B0|a,|a,damage\0
37|a,$c1 hit you for $s2 damage.\0|3|79|9B|B0|a,|a,damage\0
38|a,The TGS2002 event begins!\0|0|79|9B|B0|a,|a,none\0
39|a,The TGS2002 event is over. Thank you very much.\0|0|79|9B|B0|a,|a,none\0
40|a,This is the TGS demo: the character will immediately be restored.\0|0|79|9B|B0|a,|a,none\0
41|a,You carefully nock an arrow.\0|1|79|9B|B0|a,|a,battle\0
42|a,You have avoided $c1's attack.\0|1|79|9B|B0|a,|a,battle\0
43|a,You have missed.\0|1|79|9B|B0|a,|a,battle\0
44|a,Critical hit!\0|1|79|9B|B0|a,|a,battle\0
45|a,You have earned $s1 XP.\0|0|79|9B|B0|a,|a,none\0
46|a,You use $s1.\0|0|79|9B|B0|a,|a,none\0
47|a,You begin to use a(n) $s1.\0|0|79|9B|B0|a,|a,none\0
48|a,$s1 is not available at this time: being prepared for reuse.\0|3|79|9B|B0|a,|a,damage\0
49|a,You have equipped your $s1.\0|0|79|9B|B0|a,|a,none\0
50|a,Your target cannot be found.\0|0|79|9B|B0|a,|a,none\0
51|a,You cannot use this on yourself.\0|0|79|9B|B0|a,|a,none\0
52|a,You have earned $s1 Adena.\0|0|0|FF|FF|a,|a,none\0
53|a,You have earned $s2 $s1(s).\0|0|0|FF|FF|a,|a,none\0
54|a,You have earned $s1.\0|0|0|FF|FF|a,|a,none\0
55|a,You have failed to pick up $s1 Adena.\0|0|79|9B|B0|a,|a,none\0
56|a,You have failed to pick up $s1.\0|0|79|9B|B0|a,|a,none\0
