nbr|x_world_grid|y_world_grid|top_z|bottom_z|zone_name
0|0|0|30000.00000000|-30000.00000000|a,Neutral Waterways\0
1|0|0|30000.00000000|-30000.00000000|a,Talking Island\0
2|0|0|30000.00000000|-30000.00000000|a,Gludio Territory\0
3|0|0|30000.00000000|-30000.00000000|a,Dion Territory\0
4|0|0|30000.00000000|-30000.00000000|a,Giran Territory\0
5|0|0|30000.00000000|-30000.00000000|a,The Dark Forest\0
6|0|0|30000.00000000|-30000.00000000|a,Elven Forest\0
7|0|0|30000.00000000|-30000.00000000|a,Oren Territory\0
8|0|0|30000.00000000|-30000.00000000|a,Aden Territory\0
9|0|0|30000.00000000|-30000.00000000|a,Innadril Territory\0
10|0|0|30000.00000000|-30000.00000000|a,Misty Mountains\0
11|0|0|30000.00000000|-30000.00000000|a,Neutral Zone\0
12|0|0|30000.00000000|-30000.00000000|a,Dragon Valley\0
13|0|0|30000.00000000|-30000.00000000|a,_Lyonn Territory\0
14|0|0|30000.00000000|-30000.00000000|a,Schuttgart Territory\0
15|0|0|30000.00000000|-30000.00000000|a,Wasteland\0
16|18|21|30000.00000000|-30000.00000000|a,Fellmere Lake\0
17|19|23|-4400.00000000|-7520.00000000|a,Ant Nest\0
18|17|22|30000.00000000|-30000.00000000|a,Gludin Arena\0
19|19|21|30000.00000000|-30000.00000000|a,Gludio Castle\0
20|19|21|30000.00000000|-30000.00000000|a,Town of Gludio\0
21|17|22|30000.00000000|-30000.00000000|a,Gludin Village\0
22|17|22|30000.00000000|-30000.00000000|a,Gludin Harbor\0
23|18|24|30000.00000000|-4200.00000000|a,Langk Lizardmen Dwellings\0
24|18|23|30000.00000000|-3700.00000000|a,Red Rock Ridge\0
25|19|21|30000.00000000|-30000.00000000|a,Maille Lizardmen Barracks\0
26|17|20|30000.00000000|-4200.00000000|a,Windy Hill\0
27|18|21|30000.00000000|-30000.00000000|a,Ruins of Agony\0
28|18|23|-3760.00000000|-5632.00000000|a,Forgotten Temple\0
29|19|22|30000.00000000|-30000.00000000|a,Ruins of Despair\0
30|17|21|30000.00000000|-30000.00000000|a,Orc Barracks\0
31|18|22|30000.00000000|-30000.00000000|a,Abandoned Camp\0
