id|name|description|rgb[0]|rgb[1]|rgb[2]
20001|a,Gremlin\0|a,|9C|E8|A9
20002|a,Rabbit\0|a,|9C|E8|A9
20003|a,Goblin\0|a,|9C|E8|A9
20004|a,Imp\0|a,|9C|E8|A9
20005|a,Imp Elder\0|a,|9C|E8|A9
20006|a,Orc Archer\0|a,|9C|E8|A9
20007|a,Green Fungus\0|a,|9C|E8|A9
20008|a,Felim Lizardman\0|a,|9C|E8|A9
20009|a,Vuku Orc\0|a,|9C|E8|A9
20010|a,Felim Lizardman Scout\0|a,|9C|E8|A9
20011|a,Vuku Orc Archer\0|a,|9C|E8|A9
20012|a,Gora Werewolf\0|a,|9C|E8|A9
20013|a,Dryad\0|a,|9C|E8|A9
20014|a,Felim Lizardman Warrior\0|a,|9C|E8|A9
20015|a,Marsh Zombie\0|a,|9C|E8|A9
20016|a,Stone Golem\0|a,|9C|E8|A9
20017|a,Vuku Orc Warrior\0|a,|9C|E8|A9
20018|a,Carnivorous Fungus\0|a,|9C|E8|A9
20019|a,Dryad Elder\0|a,|9C|E8|A9
20020|a,Marsh Zombie Scout\0|a,|9C|E8|A9
20021|a,Red Bear\0|a,|9C|E8|A9
20022|a,Misery Skeleton\0|a,|9C|E8|A9
20023|a,Shadow Beast\0|a,|9C|E8|A9
20024|a,Langk Lizardman Warrior\0|a,|9C|E8|A9
20025|a,Lesser Dark Horror\0|a,|9C|E8|A9
20026|a,Ruin Zombie\0|a,|9C|E8|A9
20027|a,Langk Lizardman Scout\0|a,|9C|E8|A9
20028|a,Pincher\0|a,|9C|E8|A9
20029|a,Ruin Zombie Leader\0|a,|9C|E8|A9
20030|a,Langk Lizardman\0|a,|9C|E8|A9
20031|a,Onyx Beast\0|a,|9C|E8|A9
20032|a,Pinrul\0|a,|9C|E8|A9
20033|a,Shade Horror\0|a,|9C|E8|A9
20034|a,Prowler\0|a,|9C|E8|A9
20035|a,Skeleton Tracker\0|a,|9C|E8|A9
20036|a,Lirein\0|a,|9C|E8|A9
20037|a,Mana Seeker\0|a,|9C|E8|A9
20038|a,Giant Venomous Spider\0|a,|9C|E8|A9
20039|a,Ratman Scavenger\0|a,|9C|E8|A9
20040|a,Sukar Ratman\0|a,|9C|E8|A9
20041|a,Contortion of Lunacy\0|a,|9C|E8|A9
20042|a,Skeleton Tracker Captain\0|a,|9C|E8|A9
20043|a,Arachnid Tracker\0|a,|9C|E8|A9
20044|a,Lirein Elder\0|a,|9C|E8|A9
20045|a,Skeleton Scout\0|a,|9C|E8|A9
20046|a,Stink Zombie\0|a,|9C|E8|A9
20047|a,Sukar Ratman Captain\0|a,|9C|E8|A9
20048|a,Lesser Succubus\0|a,|9C|E8|A9
20049|a,Lycanthrope\0|a,|9C|E8|A9
20050|a,Arachnid Predator\0|a,|9C|E8|A9
20051|a,Skeleton Bowman\0|a,|9C|E8|A9
20052|a,Lesser Succubus Turen\0|a,|9C|E8|A9
20053|a,Ol Mahum Patrol\0|a,|9C|E8|A9
20054|a,Ruin Spartoi\0|a,|9C|E8|A9
20055|a,Monster Eye Watchman\0|a,|9C|E8|A9
20056|a,Dre Vanul Disposer\0|a,|9C|E8|A9
20057|a,Lesser Succubus Tilfo\0|a,|9C|E8|A9
20058|a,Ol Mahum Guard\0|a,|9C|E8|A9
20059|a,Monster Eye Patrol\0|a,|9C|E8|A9
20060|a,Raging Spartoi\0|a,|9C|E8|A9
20061|a,Ol Mahum Straggler\0|a,|9C|E8|A9
20062|a,Tumran Bugbear\0|a,|9C|E8|A9
20063|a,Ol Mahum Shooter\0|a,|9C|E8|A9
20064|a,Tumran Bugbear Warrior\0|a,|9C|E8|A9
20065|a,Ol Mahum Patrolman\0|a,|9C|E8|A9
20066|a,Ol Mahum Officer\0|a,|9C|E8|A9
20067|a,Monster Eye Watcher\0|a,|9C|E8|A9
20068|a,Monster Eye Destroyer\0|a,|9C|E8|A9
20069|a,Selu Lizardman Scout\0|a,|9C|E8|A9
20070|a,Lesser Basilisk\0|a,|9C|E8|A9
20071|a,Selu Lizardman Warrior\0|a,|9C|E8|A9
20072|a,Basilisk\0|a,|9C|E8|A9
20073|a,Ol Mahum Legionnaire\0|a,|9C|E8|A9
20074|a,Androscorpio\0|a,|9C|E8|A9
20075|a,Ant Larva\0|a,|9C|E8|A9
20076|a,Ol Mahum Commander\0|a,|9C|E8|A9
20077|a,Androscorpio Hunter\0|a,|9C|E8|A9
20078|a,Whispering Wind\0|a,|9C|E8|A9
20079|a,Ant\0|a,|9C|E8|A9
20080|a,Ant Captain\0|a,|9C|E8|A9
20081|a,Ant Overseer\0|a,|9C|E8|A9
20082|a,Ant Recruit\0|a,|9C|E8|A9
20083|a,Granite Golem\0|a,|9C|E8|A9
20084|a,Ant Patrol\0|a,|9C|E8|A9
20085|a,Puncher\0|a,|9C|E8|A9
20086|a,Ant Guard\0|a,|9C|E8|A9
20087|a,Ant Soldier\0|a,|9C|E8|A9
20088|a,Ant Warrior Captain\0|a,|9C|E8|A9
20089|a,Noble Ant\0|a,|9C|E8|A9
20090|a,Noble Ant Captain\0|a,|9C|E8|A9
20091|a,Young Fox\0|a,|9C|E8|A9
20092|a,Monster Eye\0|a,|9C|E8|A9
20093|a,Orc Warrior\0|a,|9C|E8|A9
20094|a,Orc Sniper\0|a,|9C|E8|A9
20095|a,Vampire Bat\0|a,|9C|E8|A9
20096|a,Orc Lieutenant\0|a,|9C|E8|A9
20097|a,Drill Bat\0|a,|9C|E8|A9
20098|a,Orc Captain\0|a,|9C|E8|A9
20099|a,Skeleton\0|a,|9C|E8|A9
20100|a,Skeleton Archer\0|a,|9C|E8|A9
20101|a,Crasher\0|a,|9C|E8|A9
20102|a,Skeleton Marksman\0|a,|9C|E8|A9
20103|a,Giant Spider\0|a,|9C|E8|A9
20104|a,Skeleton Lord\0|a,|9C|E8|A9
20105|a,Dark Horror\0|a,|9C|E8|A9
20106|a,Giant Fang Spider\0|a,|9C|E8|A9
20107|a,Ratman\0|a,|9C|E8|A9
20108|a,Giant Blade Spider\0|a,|9C|E8|A9
20109|a,Salamander\0|a,|9C|E8|A9
20110|a,Undine\0|a,|9C|E8|A9
20111|a,Ratman Lieutenant\0|a,|9C|E8|A9
20112|a,Salamander Elder\0|a,|9C|E8|A9
20113|a,Undine Elder\0|a,|9C|E8|A9
20114|a,Salamander Noble\0|a,|9C|E8|A9
20115|a,Undine Noble\0|a,|9C|E8|A9
20116|a,Fox\0|a,|9C|E8|A9
20117|a,Dre Vanul\0|a,|9C|E8|A9
20118|a,Dre Vanul Watchman\0|a,|9C|E8|A9
20119|a,Elder Fox\0|a,|9C|E8|A9
20120|a,Wolf\0|a,|9C|E8|A9
20121|a,Giant Toad\0|a,|9C|E8|A9
20130|a,Orc\0|a,|9C|E8|A9
20131|a,Orc Soldier\0|a,|9C|E8|A9
20132|a,Werewolf\0|a,|9C|E8|A9
20133|a,Bugbear\0|a,|9C|E8|A9
20134|a,Cave Maiden\0|a,|9C|E8|A9
20135|a,Alligator\0|a,|9C|E8|A9
20136|a,Death Knight\0|a,|9C|E8|A9
20137|a,Drake\0|a,|9C|E8|A9
20138|a,Gargoyle\0|a,|9C|E8|A9
20139|a,Giant Bee\0|a,|9C|E8|A9
20140|a,Giant Leech\0|a,|9C|E8|A9
20141|a,Giant Wild Boar\0|a,|9C|E8|A9
20142|a,Griffin\0|a,|9C|E8|A9
20143|a,Bear\0|a,|9C|E8|A9
20144|a,Hangman Tree\0|a,|9C|E8|A9
20145|a,Harpy\0|a,|9C|E8|A9
20146|a,Headless Knight\0|a,|9C|E8|A9
20147|a,Hobgoblin\0|a,|9C|E8|A9
20148|a,Starving Spirit\0|a,|9C|E8|A9
20149|a,Steel Golem\0|a,|9C|E8|A9
20150|a,King Bugbear\0|a,|9C|E8|A9
20151|a,Kobold\0|a,|9C|E8|A9
20152|a,Lizardman\0|a,|9C|E8|A9
20153|a,Magical Weaver\0|a,|9C|E8|A9
20154|a,Mandragora\0|a,|9C|E8|A9
20155|a,Mandragora Sapling\0|a,|9C|E8|A9
20156|a,Mandragora Blossom\0|a,|9C|E8|A9
20157|a,Marsh Stakato\0|a,|9C|E8|A9
20158|a,Medusa\0|a,|9C|E8|A9
20159|a,Minotaur\0|a,|9C|E8|A9
20160|a,Neer Crawler\0|a,|9C|E8|A9
20161|a,Oel Mahum\0|a,|9C|E8|A9
20162|a,Ogre\0|a,|9C|E8|A9
20163|a,Ol Mahum\0|a,|9C|E8|A9
20164|a,Ol Mahum Archer\0|a,|9C|E8|A9
20165|a,Ol Mahum Champion\0|a,|9C|E8|A9
20166|a,Succubus\0|a,|9C|E8|A9
20167|a,Serpent Slave\0|a,|9C|E8|A9
20168|a,Silenos\0|a,|9C|E8|A9
20169|a,Skeleton Royal Guard\0|a,|9C|E8|A9
20170|a,Spartoi\0|a,|9C|E8|A9
20171|a,Specter\0|a,|9C|E8|A9
20172|a,Sylph\0|a,|9C|E8|A9
20173|a,Troll\0|a,|9C|E8|A9
20174|a,Two-headed Giant\0|a,|9C|E8|A9
20175|a,Walking Fungus\0|a,|9C|E8|A9
20176|a,Wyrm\0|a,|9C|E8|A9
20177|a,Zombie\0|a,|9C|E8|A9
20189|a,Crystal Puma\0|a,|9C|E8|A9
20190|a,Skeleton Marauder\0|a,|9C|E8|A9
20191|a,Skeleton Raider\0|a,|9C|E8|A9
20192|a,Tyrant\0|a,|9C|E8|A9
20193|a,Elder Tyrant\0|a,|9C|E8|A9
20194|a,Queen Undine\0|a,|9C|E8|A9
20197|a,Sorrow Maiden\0|a,|9C|E8|A9
20198|a,Neer Crawler Berserker\0|a,|9C|E8|A9
20199|a,Amber Basilisk\0|a,|9C|E8|A9
20200|a,Strain\0|a,|9C|E8|A9
20201|a,Ghoul\0|a,|9C|E8|A9
20202|a,Corpse Tracker\0|a,|9C|E8|A9
20203|a,Dion Grizzly\0|a,|9C|E8|A9
20204|a,Bloody Bee\0|a,|9C|E8|A9
20205|a,Dire Wolf\0|a,|9C|E8|A9
20206|a,Cardiff Werewolf\0|a,|9C|E8|A9
20207|a,Ol Mahum Guerilla\0|a,|9C|E8|A9
20208|a,Ol Mahum Raider\0|a,|9C|E8|A9
20209|a,Ol Mahum Sniper\0|a,|9C|E8|A9
20210|a,Ol Mahum Lieutenant\0|a,|9C|E8|A9
20211|a,Ol Mahum Captain\0|a,|9C|E8|A9
20212|a,Bloody Axe Turmak\0|a,Ol Mahum Lord\0|9C|E8|A9
20213|a,Porta\0|a,|9C|E8|A9
20214|a,Excuro\0|a,|9C|E8|A9
20215|a,Mordeo\0|a,|9C|E8|A9
20216|a,Ricenseo\0|a,|9C|E8|A9
20217|a,Krator\0|a,|9C|E8|A9
20218|a,Premo\0|a,|9C|E8|A9
20219|a,Validus\0|a,|9C|E8|A9
20220|a,Dicor\0|a,|9C|E8|A9
20221|a,Perum\0|a,|9C|E8|A9
20222|a,Torfe\0|a,|9C|E8|A9
20223|a,Mandragora Sprout\0|a,|9C|E8|A9
20224|a,Ol Mahum Ranger\0|a,|9C|E8|A9
20225|a,Giant Mist Leech\0|a,|9C|E8|A9
20226|a,Gray Ant\0|a,|9C|E8|A9
20227|a,Mist Horror Ripper\0|a,|9C|E8|A9
20228|a,Giant Crimson Ant\0|a,|9C|E8|A9
20229|a,Weird Wasp\0|a,|9C|E8|A9
20230|a,Marsh Stakato Worker\0|a,|9C|E8|A9
20231|a,Toad Lord\0|a,|9C|E8|A9
20232|a,Marsh Stakato Soldier\0|a,|9C|E8|A9
20233|a,Marsh Spider\0|a,|9C|E8|A9
20234|a,Marsh Stakato Drone\0|a,|9C|E8|A9
20235|a,Shackle\0|a,|9C|E8|A9
20236|a,Cave Servant\0|a,|9C|E8|A9
20237|a,Cave Servant Archer\0|a,|9C|E8|A9
20238|a,Cave Servant Warrior\0|a,|9C|E8|A9
20239|a,Cave Servant Captain\0|a,|9C|E8|A9
