id|type|category|cat2_cnt|name|icon|desc|cmd
5000|-1|5|1|a,Hand of Warmth\0|a,BranchSys.icon.br_rudolf_hand_i00\0|a,Can express affection to Rudolph. Affection Level rises by 25%. Warning: Can be used only when a Rudolph requests expression of affection, and cannot be used while transformed!\0|usepetskill
5001|-1|5|6|a,Rosy Seduction\0|a,BranchSys2.icon.br_rose_lover_special_i00\0|a,Increases Max HP by 20%, Max MP by 20%, and the Speed by 20% for 5 minutes. Increases the Debuff Resistance by 10%. Reuse delay 10 minutes. Consumes 3 Rose Essence(s) during skill use. Doesn't overlap with other buffs except Critical Seduction.\0|usepetskill
5002|-1|5|6|a,Art of Seduction\0|a,BranchSys2.icon.br_rose_lover_special_i00\0|a,For 30 minutes, increases party members' Max HP by 30%, Max MP by 30%, Max CP by 30%, P. Def. by 30%, magic M. Def. by 30%, Speed by 20, P. Atk. by 10%, and magic M. Atk. by 20%. Decreases MP consumption for skill use by 15%. Reuse delay 5 minutes. Consumes 10 Rose Essence(s) during skill use.\0|usepetskill
5003|-1|5|4|a,Thunder Bolt\0|a,icon.action113\0|a,Attacks the enemy with the power of lightning.\0|usepetskill
5004|-1|5|4|a,Flash\0|a,icon.action114\0|a,Inflicts a swift magic attack upon contacted enemies nearby.\0|usepetskill
5005|-1|5|4|a,Lightning Wave\0|a,icon.action115\0|a,Attacks nearby enemies with the power of lightning.\0|usepetskill
5006|-1|5|12|a,Buff Control\0|a,icon.action113\0|a,Restricts to prevent the use of a buff upon the master. 5 minute duration.\0|usepetskill
5007|-1|5|4|a,Piercing Attack\0|a,icon.action114\0|a,Inflicts a powerful attack that seems to pierce through the target.\0|usepetskill
5008|-1|5|4|a,Spin Attack\0|a,icon.action115\0|a,Attacks nearby enemies.\0|usepetskill
5009|-1|5|4|a,Impale\0|a,icon.action116\0|a,Impales an enemy with a sword.\0|usepetskill
5010|-1|5|4|a,Battle Cry\0|a,icon.action117\0|a,Raises one's own abilities.\0|usepetskill
5011|-1|5|4|a,Power Smash\0|a,icon.action114\0|a,Inflicts a powerful attack on the target.\0|usepetskill
5012|-1|5|4|a,Energy Burst\0|a,icon.action115\0|a,Gathered energy within ones self can be focused and used to attack an enemy.\0|usepetskill
5013|-1|5|4|a,Shock Wave\0|a,icon.action116\0|a,Fires a shock wave to attack enemies at the front.\0|usepetskill
5014|-1|5|4|a,Burst\0|a,icon.action117\0|a,Amplifies one's own abilities.\0|usepetskill
5015|-1|5|12|a,Switch Tactics\0|a,icon.action105\0|a,Switches between attack mode and support mode.\0|usepetskill
5016|-1|5|3|a,Cat the Ranger Boost\0|a,BranchSys2.icon.action5016\0|a,Instantly restores the master's HP by 10%.  Increases the master's Debuff Resistance by 80%, Buff-canceling Attack Resistance by 40%, Speed by 10, P. Def. by 20%, and M. Def. by 20%, and decreases MP consumption for all skills by 50% for 1 minute.\0|usepetskill
0|-1|1|1|a,Sit/Stand\0|a,icon.action001\0|a,Toggle Sit/Stand. (/sit, /stand)\0|sitstand
1|-1|1|1|a,Walk/Run\0|a,icon.action002\0|a,Toggle Walk/Run. (/walk, /run)\0|walkrun
2|-1|1|1|a,Attack\0|a,icon.action003\0|a,Attacks selected target(s), or takes a general action if the target cannot be attacked. Hold down the Ctrl key and click to attack by force. \\n\\n(/attack, /attackforce)\0|Attack
3|-1|1|1|a,Exchange\0|a,icon.action005\0|a,Request a trade from the selected target. (/trade)\0|trade
4|-1|1|1|a,Next Target\0|a,icon.action007\0|a,Select the nearest attackable target. (/targetnext)\0|targetnext
5|-1|1|1|a,Pick Up\0|a,icon.action008\0|a,Pick up items that are scattered nearby. (/pickup)\0|Pickup
6|-1|1|1|a,Assist\0|a,icon.action010\0|a,Change to the target of the currently selected player. (/assist)\0|assist
7|-1|2|1|a,Invite\0|a,icon.action011\0|a,Invite the selected person to your party. (/invite)\0|partyinvite
8|-1|2|1|a,Leave Party\0|a,icon.action012\0|a,Leave the party. (/leave)\0|partyleave
9|-1|2|1|a,Dismiss Party Member\0|a,icon.action013\0|a,If you are the leader of the party, dismiss selected members from your party. (/dismiss)\0|partydismiss
10|-1|1|1|a,Private Store - Sell\0|a,icon.action018\0|a,Sets up a private store  to sell your items. (/vendor)\0|vendor
11|-1|2|1|a,Party Matching\0|a,icon.action019\0|a,Display the party matching window to search for parties or to add members to your party.  (/partymatching)\0|partymatching
12|2|4|1|a,Greeting\0|a,icon.action015\0|a,Emote: Greet others with a kind "hello." (/socialhello)\0|socialhello
13|3|4|1|a,Victory\0|a,icon.action016\0|a,Emote: Let everyone know that you or someone else is victorious! (/socialvictory)\0|socialvictory
14|4|4|1|a,Advance\0|a,icon.action017\0|a,Emote: Rouse your allies and charge! (/socialcharge)\0|socialcharge
15|-1|5|1|a,Change Movement Mode\0|a,icon.action101\0|a,Have your pet follow you or stay and hold its ground.\0|pethold
16|-1|5|1|a,Attack\0|a,icon.action102\0|a,Attack target.\0|petattack
17|-1|5|1|a,Stop\0|a,icon.action103\0|a,Stop current action.\0|petstop
18|-1|5|1|a,Pickup\0|a,icon.action104\0|a,Pick up nearby items.\0|petpickup
19|-1|5|1|a,Unsummon Pet\0|a,icon.action106\0|a,Returns your pet back to its home.\0|petrevert
20|0|0|1|a,Special skill\0|a,icon.action105\0|a,Use special skill.\0|petspecial
21|-1|6|1|a,Change Movement Mode\0|a,icon.action201\0|a,Have your summons follow you or stay and hold its ground.\0|summonhold
22|-1|6|842|a,Attack\0|a,icon.action202\0|a,Attack target.\0|summonattack
23|-1|6|1|a,Stop\0|a,icon.action203\0|a,Stop current action.\0|summonstop
24|6|4|1|a,Yes\0|a,icon.action024\0|a,Emote: Respond positively. (/socialyes)\0|socialyes
25|5|4|1|a,No\0|a,icon.action025\0|a,Emote: Respond negatively. (/socialno)\0|socialno
26|7|4|1|a,Bow\0|a,icon.action026\0|a,Emote: Show your respect and bow.  (/socialbow)\0|socialbow
27|-1|0|1|a,Special skill\0|a,icon.action105\0|a,Use special skill.\0|summonspecial
28|-1|1|1|a,Private Store - Buy\0|a,icon.action028\0|a,Sets up a private store to purchase items. (/buy)\0|buy
29|8|4|1|a,Unaware\0|a,icon.action029\0|a,Emote: You have no idea what's going on. (/socialunaware)\0|socialunaware
