id|drop_mesh1|icon|durability|weight|material|crystallizable|body_part|handness|random_damage|weapon_type|crystal_type|mp_consume|SS_count|SPS_count|curvature|is_hero
1|LineageWeapons.small_sword_m00_wp|icon.weapon_small_sword_i00|-1|1600|8|0|27|1|10|1|0|0|1|1|1000|-1
2|LineageWeapons.long_sword_m00_wp|icon.weapon_long_sword_i00|-1|1560|51|0|27|1|10|1|0|0|2|2|1000|-1
3|LineageWeapons.broad_sword_m00_wp|icon.weapon_broad_sword_i00|-1|1590|8|0|27|1|10|1|0|0|1|1|1000|-1
4|LineageWeapons.club_m00_wp|icon.weapon_club_i00|-1|1870|13|0|27|1|20|2|0|0|1|1|1000|-1
5|LineageWeapons.mace_m00_wp|icon.weapon_mace_i00|-1|1880|8|0|27|1|20|2|0|0|1|1|1000|-1
6|LineageWeapons.apprentices_wand_m00_wp|icon.weapon_apprentices_wand_i00|-1|1350|8|0|27|1|20|2|0|0|1|1|1000|-1
7|LineageWeapons.apprentices_rod_m00_wp|icon.weapon_apprentices_rod_i00|-1|1330|13|0|27|1|20|2|0|0|1|1|1000|-1
8|LineageWeapons.willow_staff_m00_wp|icon.weapon_willow_staff_i00|-1|1080|13|0|7|4|20|2|0|0|1|1|1000|-1
9|LineageWeapons.cedar_staff_m00_wp|icon.weapon_cedar_staff_i00|-1|1090|13|0|7|4|20|2|0|0|2|2|1000|-1
10|LineageWeapons.dagger_m00_wp|icon.weapon_dagger_i00|-1|1160|8|0|27|12|5|3|0|0|1|1|1000|-1
11|LineageWeapons.bone_dagger_m00_wp|icon.weapon_bone_dagger_i00|-1|1150|14|0|27|12|5|3|0|0|1|1|1000|-1
12|LineageWeapons.knife_m00_wp|icon.weapon_knife_i00|-1|1140|6|0|27|12|5|3|0|0|1|1|1000|-1
13|LineageWeapons.short_bow_m00_wp|icon.weapon_short_bow_i00|-1|1950|13|0|7|5|5|6|0|1|1|1|1000|-1
14|LineageWeapons.bow_m00_wp|icon.weapon_bow_i00|-1|1930|13|0|7|5|5|6|0|1|1|1|1000|-1
15|LineageWeapons.short_spear_m00_wp|icon.weapon_short_spear_i00|-1|2140|8|0|7|4|10|4|0|0|2|2|1000|-1
16|LineageWeapons.long_spear_m00_wp|icon.weapon_long_spear_i00|-1|2120|6|0|7|4|10|4|0|0|2|2|1000|-1
18|LineageWeapons.leather_shield_m00_sh|icon.shield_leather_shield_i00|-1|1430|19|0|28|0|0|0|0|0|0|0|1000|-1
19|LineageWeapons.small_shield_m00_sh|icon.shield_small_shield_i00|-1|1420|8|0|28|0|0|0|0|0|0|0|1000|-1
20|LineageWeapons.buckler_m00_sh|icon.shield_buckler_i00|-1|1410|13|0|28|0|0|0|0|0|0|0|1000|-1
52|LineageWeapons.vesper_cutter_m00_wp|icon.weapon_dual_sword_i00|-1|1520|8|1|7|3|10|8|6|0|1|1|1000|-1
66|LineageWeapons.gladius_m00_wp|icon.weapon_gladius_i00|-1|1570|8|0|27|1|10|1|0|0|2|2|1000|-1
67|LineageWeapons.orcish_sword_m00_wp|icon.weapon_orcish_sword_i00|-1|1570|8|0|27|1|10|1|0|0|2|2|1000|-1
68|LineageWeapons.falchion_m00_wp|icon.weapon_falchion_i00|-1|1530|6|0|27|1|10|1|0|0|2|2|1000|-1
69|LineageWeapons.bastard_sword_m00_wp|icon.weapon_bastard_sword_i00|-1|1510|51|1|27|1|10|1|1|0|2|2|1000|-1
70|LineageWeapons.claymore_m00_wp|icon.weapon_claymore_i00|-1|2090|51|1|7|2|10|1|1|0|3|3|1000|-1
71|LineageWeapons.flamberge_m00_wp|icon.weapon_flamberge_i00|-1|2010|6|1|7|2|10|1|2|0|2|2|1000|-1
72|LineageWeapons.stormbringer_m00_wp|icon.weapon_stormbringer_i00|-1|1430|51|1|27|1|10|1|2|0|2|2|1000|-1
73|LineageWeapons.shamshir_m00_wp|icon.weapon_shamshir_i00|-1|1420|51|1|27|1|10|1|2|0|2|2|1000|-1
74|LineageWeapons.katana_m00_wp|icon.weapon_katana_i00|-1|1420|51|1|27|1|10|1|2|0|2|2|1000|-1
75|LineageWeapons.caliburs_m00_wp|icon.weapon_caliburs_i00|-1|1400|1|1|27|1|10|1|2|0|3|3|1000|-1
76|LineageWeapons.sword_of_delusion_m00_wp|icon.weapon_sword_of_delusion_i00|-1|1400|2|1|27|1|10|1|2|0|3|3|1000|-1
77|LineageWeapons.tsurugi_m00_wp|icon.weapon_tsurugi_i00|-1|1400|51|1|27|1|10|1|2|0|3|3|1000|-1
78|LineageWeapons.great_sword_m00_wp|icon.weapon_great_sword_i00|-1|1930|8|1|7|2|10|1|3|0|1|1|1000|-1
79|LineageWeapons.sword_of_damascus_m00_wp|icon.weapon_sword_of_damascus_i00|-1|1350|50|1|27|1|10|1|3|0|1|1|1000|-1
80|LineageWeapons.tallum_blade_m00_wp|icon.weapon_tallum_blade_i00|-1|1330|47|1|27|1|10|1|4|0|1|1|1000|-1
81|LineageWeapons.dragon_slayer_m00_wp|icon.weapon_dragon_slayer_i00|-1|1840|14|1|7|2|10|1|4|0|1|1|1000|-1
82|LineageWeapons.forgotten_blade_m00_wp|icon.weapon_forgotten_blade_i00|-1|1300|47|1|27|1|10|1|5|0|1|1|1000|-1
83|LineageWeapons.sword_of_magic_m00_wp|icon.weapon_sword_of_magic_i00|-1|970|6|1|27|1|10|1|1|0|2|2|1000|-1
84|LineageWeapons.homunkuluss_sword_m00_wp|icon.weapon_homunkuluss_sword_i00|-1|950|48|1|27|1|10|1|2|0|3|3|1000|-1
85|LineageWeapons.phantom_sword_m00_wp|icon.weapon_phantom_sword_i00|-1|860|1|1|27|1|10|1|4|0|1|1|1000|-1
86|LineageWeapons.tomahawk_m00_wp|icon.weapon_tomahawk_i00|-1|1780|6|1|27|1|20|2|1|0|2|2|1000|-1
87|LineageWeapons.iron_hammer_m00_wp|icon.weapon_iron_hammer_i00|-1|1850|8|0|27|1|20|2|0|0|2|2|1000|-1
88|LineageWeapons.morning_star_m00_wp|icon.weapon_morning_star_i00|-1|1720|8|1|27|1|20|2|1|0|3|3|1000|-1
89|LineageWeapons.big_hammer_m00_wp|icon.weapon_big_hammer_i00|-1|1710|51|1|27|1|20|2|2|0|2|2|1000|-1
90|LineageWeapons.goathead_staff_m00_wp|icon.weapon_goathead_staff_i00|-1|1000|13|1|7|4|20|2|1|0|3|3|1000|-1
91|LineageWeapons.heavy_war_axe_m00_wp|icon.weapon_heavy_war_axe_i00|-1|1620|51|1|27|1|20|2|3|0|1|1|1000|-1
92|LineageWeapons.sprites_staff_m00_wp|icon.weapon_sprites_staff_i00|-1|960|13|1|7|4|20|2|3|0|1|1|1000|-1
93|LineageWeapons.winged_spear_m00_wp|icon.weapon_winged_spear_i00|-1|2060|51|1|7|4|10|4|1|0|3|3|1000|-1
94|LineageWeapons.bech_de_corbin_m00_wp|icon.weapon_bech_de_corbin_i00|-1|2020|51|1|7|4|10|4|2|0|2|2|1000|-1
95|LineageWeapons.poleaxe_m00_wp|icon.weapon_poleaxe_i00|-1|2010|6|1|7|4|10|4|2|0|3|3|1000|-1
96|LineageWeapons.scythe_m00_wp|icon.weapon_scythe_i00|-1|2040|51|1|7|4|10|4|2|0|2|2|1000|-1
97|LineageWeapons.lancia_m00_wp|icon.weapon_lancia_i00|-1|1920|48|1|7|4|10|4|3|0|1|1|1000|-1
98|LineageWeapons.halbard_m00_wp|icon.weapon_halbard_i00|-1|1900|1|1|7|4|10|4|4|0|1|1|1000|-1
99|LineageWeapons.apprentices_spellbook_m00_wp|icon.weapon_apprentices_spellbook_i00|-1|650|18|0|27|1|10|7|0|0|1|1|1000|-1
