id|dye_id|name|icon|symbol_add_name|symbol_add_desc
1|4445|a,Dye of STR \0|a,icon.etc_str_symbol_i00\0|a,Str+1 Con-3\0|a,Str+1 Con-3\0
2|4446|a,Dye of STR \0|a,icon.etc_str_symbol_i00\0|a,Str+1 Dex-3\0|a,Str+1 Dex-3\0
3|4447|a,Dye of CON\0|a,icon.etc_con_symbol_i00\0|a,Con+1 Str-3\0|a,Con+1 Str-3\0
4|4448|a,Dye of CON\0|a,icon.etc_con_symbol_i00\0|a,Con+1 Dex-3\0|a,Con+1 Dex-3\0
5|4449|a,Dye of DEX\0|a,icon.etc_dex_symbol_i00\0|a,Dex+1 Str-3\0|a,Dex+1 Str-3\0
6|4450|a,Dye of DEX\0|a,icon.etc_dex_symbol_i00\0|a,Dex+1 Con-3\0|a,Dex+1 Con-3\0
7|4451|a,Dye of INT\0|a,icon.etc_int_symbol_i00\0|a,Int+1 Men-3\0|a,Int+1 Men-3\0
8|4452|a,Dye of INT\0|a,icon.etc_int_symbol_i00\0|a,Int+1 Wit-3\0|a,Int+1 Wit-3\0
9|4453|a,Dye of MEN\0|a,icon.etc_men_symbol_i00\0|a,Men+1 Int-3\0|a,Men+1 Int-3\0
10|4454|a,Dye of MEN\0|a,icon.etc_men_symbol_i00\0|a,Men+1 Wit-3\0|a,Men+1 Wit-3\0
11|4455|a,Dye of WIT\0|a,icon.etc_wit_symbol_i00\0|a,Wit+1 Int-3\0|a,Wit+1 Int-3\0
12|4456|a,Dye of WIT\0|a,icon.etc_wit_symbol_i00\0|a,Wit+1 Men-3\0|a,Wit+1 Men-3\0
13|4457|a,Dye of STR \0|a,icon.etc_str_symbol_i00\0|a,Str+1 Con-2\0|a,Str+1 Con-2\0
14|4458|a,Dye of STR \0|a,icon.etc_str_symbol_i00\0|a,Str+1 Dex-2\0|a,Str+1 Dex-2\0
15|4459|a,Dye of CON\0|a,icon.etc_con_symbol_i00\0|a,Con+1 Str-2\0|a,Con+1 Str-2\0
16|4460|a,Dye of CON\0|a,icon.etc_con_symbol_i00\0|a,Con+1 Dex-2\0|a,Con+1 Dex-2\0
17|4461|a,Dye of DEX\0|a,icon.etc_dex_symbol_i00\0|a,Dex+1 Str-2\0|a,Dex+1 Str-2\0
18|4462|a,Dye of DEX\0|a,icon.etc_dex_symbol_i00\0|a,Dex+1 Con-2\0|a,Dex+1 Con-2\0
19|4463|a,Dye of INT\0|a,icon.etc_int_symbol_i00\0|a,Int+1 Men-2\0|a,Int+1 Men-2\0
20|4464|a,Dye of INT\0|a,icon.etc_int_symbol_i00\0|a,Int+1 Wit-2\0|a,Int+1 Wit-2\0
21|4465|a,Dye of MEN\0|a,icon.etc_men_symbol_i00\0|a,Men+1 Int-2\0|a,Men+1 Int-2\0
22|4466|a,Dye of MEN\0|a,icon.etc_men_symbol_i00\0|a,Men+1 Wit-2\0|a,Men+1 Wit-2\0
23|4467|a,Dye of WIT\0|a,icon.etc_wit_symbol_i00\0|a,Wit+1 Int-2\0|a,Wit+1 Int-2\0
24|4468|a,Dye of WIT\0|a,icon.etc_wit_symbol_i00\0|a,Wit+1 Men-2\0|a,Wit+1 Men-2\0
25|4469|a,Dye of STR \0|a,icon.etc_str_symbol_i00\0|a,Str+1 Con-1\0|a,Str+1 Con-1\0
26|4470|a,Dye of STR \0|a,icon.etc_str_symbol_i00\0|a,Str+1 Dex-1\0|a,Str+1 Dex-1\0
27|4471|a,Dye of CON\0|a,icon.etc_con_symbol_i00\0|a,Con+1 Str-1\0|a,Con+1 Str-1\0
28|4472|a,Dye of CON\0|a,icon.etc_con_symbol_i00\0|a,Con+1 Dex-1\0|a,Con+1 Dex-1\0
29|4473|a,Dye of DEX\0|a,icon.etc_dex_symbol_i00\0|a,Dex+1 Str-1\0|a,Dex+1 Str-1\0
30|4474|a,Dye of DEX\0|a,icon.etc_dex_symbol_i00\0|a,Dex+1 Con-1\0|a,Dex+1 Con-1\0
31|4475|a,Dye of INT\0|a,icon.etc_int_symbol_i00\0|a,Int+1 Men-1\0|a,Int+1 Men-1\0
32|4476|a,Dye of INT\0|a,icon.etc_int_symbol_i00\0|a,Int+1 Wit-1\0|a,Int+1 Wit-1\0
33|4477|a,Dye of MEN\0|a,icon.etc_men_symbol_i00\0|a,Men+1 Int-1\0|a,Men+1 Int-1\0
34|4478|a,Dye of MEN\0|a,icon.etc_men_symbol_i00\0|a,Men+1 Wit-1\0|a,Men+1 Wit-1\0
35|4479|a,Dye of WIT\0|a,icon.etc_wit_symbol_i00\0|a,Wit+1 Int-1\0|a,Wit+1 Int-1\0
36|4480|a,Dye of WIT\0|a,icon.etc_wit_symbol_i00\0|a,Wit+1 Men-1\0|a,Wit+1 Men-1\0
37|4481|a,Greater Dye of STR\0|a,icon.etc_str_symbol_i01\0|a,Str+1 Con-3\0|a,Str+1 Con-3\0
38|4482|a,Greater Dye of STR\0|a,icon.etc_str_symbol_i01\0|a,Str+1 Dex-3\0|a,Str+1 Dex-3\0
39|4483|a,Greater Dye of CON\0|a,icon.etc_con_symbol_i01\0|a,Con+1 Str-3\0|a,Con+1 Str-3\0
40|4484|a,Greater Dye of CON\0|a,icon.etc_con_symbol_i01\0|a,Con+1 Dex-3\0|a,Con+1 Dex-3\0
41|4485|a,Greater Dye of DEX\0|a,icon.etc_dex_symbol_i01\0|a,Dex+1 Str-3\0|a,Dex+1 Str-3\0
42|4486|a,Greater Dye of DEX\0|a,icon.etc_dex_symbol_i01\0|a,Dex+1 Con-3\0|a,Dex+1 Con-3\0
43|4487|a,Greater Dye of INT\0|a,icon.etc_int_symbol_i01\0|a,Int+1 Men-3\0|a,Int+1 Men-3\0
44|4488|a,Greater Dye of INT\0|a,icon.etc_int_symbol_i01\0|a,Int+1 Wit-3\0|a,Int+1 Wit-3\0
45|4489|a,Greater Dye of MEN\0|a,icon.etc_men_symbol_i01\0|a,Men+1 Int-3\0|a,Men+1 Int-3\0
46|4490|a,Greater Dye of MEN\0|a,icon.etc_men_symbol_i01\0|a,Men+1 Wit-3\0|a,Men+1 Wit-3\0
47|4491|a,Greater Dye of WIT\0|a,icon.etc_wit_symbol_i01\0|a,Wit+1 Int-3\0|a,Wit+1 Int-3\0
48|4492|a,Greater Dye of WIT\0|a,icon.etc_wit_symbol_i01\0|a,Wit+1 Men-3\0|a,Wit+1 Men-3\0
49|4493|a,Greater Dye of STR\0|a,icon.etc_str_symbol_i01\0|a,Str+1 Con-2\0|a,Str+1 Con-2\0
50|4494|a,Greater Dye of STR\0|a,icon.etc_str_symbol_i01\0|a,Str+1 Dex-2\0|a,Str+1 Dex-2\0
51|4495|a,Greater Dye of CON\0|a,icon.etc_con_symbol_i01\0|a,Con+1 Str-2\0|a,Con+1 Str-2\0
52|4496|a,Greater Dye of CON\0|a,icon.etc_con_symbol_i01\0|a,Con+1 Dex-2\0|a,Con+1 Dex-2\0
53|4497|a,Greater Dye of DEX\0|a,icon.etc_dex_symbol_i01\0|a,Dex+1 Str-2\0|a,Dex+1 Str-2\0
54|4498|a,Greater Dye of DEX\0|a,icon.etc_dex_symbol_i01\0|a,Dex+1 Con-2\0|a,Dex+1 Con-2\0
55|4499|a,Greater Dye of INT\0|a,icon.etc_int_symbol_i01\0|a,Int+1 Men-2\0|a,Int+1 Men-2\0
56|4500|a,Greater Dye of INT\0|a,icon.etc_int_symbol_i01\0|a,Int+1 Wit-2\0|a,Int+1 Wit-2\0
57|4501|a,Greater Dye of MEN\0|a,icon.etc_men_symbol_i01\0|a,Men+1 Int-2\0|a,Men+1 Int-2\0
58|4502|a,Greater Dye of MEN\0|a,icon.etc_men_symbol_i01\0|a,Men+1 Wit-2\0|a,Men+1 Wit-2\0
59|4503|a,Greater Dye of WIT\0|a,icon.etc_wit_symbol_i01\0|a,Wit+1 Int-2\0|a,Wit+1 Int-2\0
60|4504|a,Greater Dye of WIT\0|a,icon.etc_wit_symbol_i01\0|a,Wit+1 Men-2\0|a,Wit+1 Men-2\0
61|4505|a,Greater Dye of STR\0|a,icon.etc_str_symbol_i01\0|a,Str+2 Con-4\0|a,Str+2 Con-4\0
62|4506|a,Greater Dye of STR\0|a,icon.etc_str_symbol_i01\0|a,Str+2 Dex-4\0|a,Str+2 Dex-4\0
63|4507|a,Greater Dye of CON\0|a,icon.etc_con_symbol_i01\0|a,Con+2 Str-4\0|a,Con+2 Str-4\0
64|4508|a,Greater Dye of CON\0|a,icon.etc_con_symbol_i01\0|a,Con+2 Dex-4\0|a,Con+2 Dex-4\0
65|4509|a,Greater Dye of DEX\0|a,icon.etc_dex_symbol_i01\0|a,Dex+2 Str-4\0|a,Dex+2 Str-4\0
66|4510|a,Greater Dye of DEX\0|a,icon.etc_dex_symbol_i01\0|a,Dex+2 Con-4\0|a,Dex+2 Con-4\0
67|4511|a,Greater Dye of INT\0|a,icon.etc_int_symbol_i01\0|a,Int+2 Men-4\0|a,Int+2 Men-4\0
